Дата;Лист №;Поставка/Кооперация;Поставщик/Кооператор;Операция;Заказ №;Наименование изделия;Наименование ДСЕ;Кол;ВР;ИБ;Д;П

15.04.2019;529-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-284;Заглушка;Вагонетка специальная (Вагон-сейф);КМ 100.11.20.025;8;в работе;0;0;8

12.04.2019;528-2019;Кооперация;КрЭВРЗ ОАО;Закалка;19-032;Шестерня;Шестерня;ЧР 0588.00.001;2;в работе;0;0;2

12.04.2019;527-2019;Кооперация;СибМаш ООО;Закалка;18-263;Колесо;Вагонетка шахтная ВДР 5,3М;КМ 20.53.40.007;9;в работе;0;0;9

12.04.2019;526-2019;Кооперация;Реал ООО;Закалка;18-263;Короб;Вагонетка шахтная ВДР 5,3М;КМ 20.53.30.002;6;в работе;0;0;6

12.04.2019;525-2019;Кооперация;Теплофон ООО;Окраска;18-292;Комплект Крышек внутренних Релайн;Комплект Крышек внутренних Релайн;ЧР 0599.00.002-01;146;в работе;0;0;146

12.04.2019;524-2019;Кооперация;Теплофон ООО;Окраска;18-293;Скоба;Комплект Скоб РеЛайн;ЧР 0599.00.001-01;146;в работе;0;0;146

12.04.2019;523-2019;Кооперация;Электрорегион ООО;Полное изготовление;18-260;РМБ;Вагонетка ВГ-2,5;КМ 10.25.30.200 СБ;4;в работе;0;0;4

12.04.2019;522-2019;Кооперация;ООО "Компания Доминик";Полное изготовление;19-047;Стекло смотрового лючка &#216;150 мм;Смотровой лючок (окно Ф 150 мм);12010-00.03;5;в работе;0;0;5

12.04.2019;521-2019;Кооперация;"Завод Сибирский Трактор" ООО;Литьё;19-010;Бандаж;Бандаж;КМ 20.53.30.002 отл.;30;в работе;2;0;28

12.04.2019;520-2019;Кооперация;"Завод Сибирский Трактор" ООО;Литьё;19-082;Серьга;Вагонетка шахтная ВГ 5М;КМ 10.50.04.001 отл.;19;в работе;0;0;19

12.04.2019;519-2019;Кооперация;"Завод Сибирский Трактор" ООО;Литьё;19-004;Бандаж;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.002 Ж;48;в работе;1;0;47

12.04.2019;518-2019;Кооперация;"Завод Сибирский Трактор" ООО;Литьё;19-082;Крышка внешняя;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.004 отл.;108;в работе;0;0;108

12.04.2019;517-2019;Кооперация;Реал ООО;Закалка;19-004;Бандаж;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.002;7;в работе;0;0;7

11.04.2019;516-2019;Кооперация;Реал ООО;Закалка;18-263;Балка;Вагонетка шахтная ВДР 5,3М;КМ 20.53.30.002;4;в работе;0;1;3

11.04.2019;515-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-260;Шайба контровочная;Вагонетка ВГ-2,5;Эскиз №3;8;в работе;0;0;8

11.04.2019;514-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-260;Гайка контровочная;Вагонетка ВГ-2,5;Эскиз №2;8;в работе;0;0;8

11.04.2019;513-2019;Кооперация;Реал ООО;Закалка;18-260;Гайка нестандартная;Вагонетка ВГ-2,5;КМ 10.25.40.004;4;в работе;0;0;4

11.04.2019;512-2019;Кооперация;Реал ООО;Закалка;18-260;Кольцо манжеты;Вагонетка ВГ-2,5;КМ 10.25.40.005;4;в работе;0;0;4

11.04.2019;511-2019;Кооперация;Реал ООО;Закалка;17-175-001;Кольцо манжеты;Доработка Вагонетки ВГ-11 по ТР;КМ 10.50.05.004;8;в работе;0;0;8

11.04.2019;510-2019;Кооперация;Реал ООО;Закалка;19-004;Бандаж;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.002;8;в работе;0;0;8

11.04.2019;509-2019;Кооперация;Реал ООО;Закалка;18-263;Балка;Вагонетка шахтная ВДР 5,3М;КМ 20.53.30.002;2;в работе;0;1;1

10.04.2019;508-2019;Кооперация;Теплофон ООО;Окраска;18-293;Скоба;Комплект Скоб РеЛайн;ЧР 0599.00.001-01;155;в работе;0;0;155

10.04.2019;507-2019;Кооперация;Теплофон ООО;Окраска;18-293;Скоба;Комплект Скоб РеЛайн;ЧР 0599.00.001;144;в работе;0;0;144

10.04.2019;506-2019;Кооперация;Теплофон ООО;Окраска;18-292;Крышка внутренняя;Комплект Крышек внутренних Релайн;ЧР 0599.00.002-01;155;в работе;0;0;155

10.04.2019;505-2019;Кооперация;Теплофон ООО;Окраска;18-292;Крышка внутренняя;Комплект Крышек внутренних Релайн;ЧР 0599.00.002;144;в работе;0;0;144

10.04.2019;504-2019;Кооперация;"Завод Сибирский Трактор" ООО;Литьё;19-004;Бандаж;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.002 Ж;10;в работе;0;0;10

10.04.2019;503-2019;Кооперация;ООО "Завод Сибирский Трактор";Литьё;;;;;14;в работе;0;0;0

10.04.2019;502-2019;Кооперация;Электрорегион ООО;Полное изготовление;17-225;Футеровка;Вагонетка ВГ-6.2;КМ 10.62.10.001;2;в работе;0;0;2

09.04.2019;501-2019;Кооперация;ИП Костерина;Токарная;18-260;Гайка контровочная;Вагонетка ВГ-2,5;КМ 10.25.40.003;4;в работе;0;0;4

09.04.2019;500-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-242-011;Крюк;Стеллаж;ЧР 0563.02.002;84;в работе;0;0;84

09.04.2019;499-2019;Кооперация;Кринт;Гибка;18-266-009;Секция 1;Комплект защиты башмаков станины Хевикут;ЧР 0453.03.001;8;в работе;0;0;8

09.04.2019;498-2019;Кооперация;Кринт;Гибка;18-266-009;Секция 2;Комплект защиты башмаков станины Хевикут;ЧР 0453.03.002;8;в работе;0;0;8

09.04.2019;497-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-002;Диск;Импеллер;ТХФ 3542.02.00.03;3;в работе;0;0;3

09.04.2019;496-2019;Кооперация;ООО "РТИ Сибири";Полное изготовление;19-004;Кольцо;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.015;400;в работе;0;0;400

09.04.2019;495-2019;Кооперация;ИП Костерина;Токарная;19-004;Гайка корончатая;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.006;29;в работе;0;0;29

09.04.2019;494-2019;Кооперация;Теплофон ООО;Токарная;19-082;Корпус;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.011;90;в работе;0;90;0

09.04.2019;493-2019;Кооперация;Теплофон ООО;Окраска;18-292;Крышка внутренняя;Комплект Крышек внутренних Релайн;ЧР 0599.00.002-01;36;в работе;0;0;36

09.04.2019;492-2019;Кооперация;Теплофон ООО;Окраска;18-292;Крышка внутренняя;Комплект Крышек внутренних Релайн;ЧР 0599.00.002;96;в работе;0;0;96

09.04.2019;491-2019;Кооперация;Теплофон ООО;Окраска;18-293;Скоба;Комплект Скоб РеЛайн;ЧР 0599.00.001-01;36;в работе;0;0;36

09.04.2019;490-2019;Кооперация;Теплофон ООО;Окраска;18-293;Скоба;Комплект Скоб РеЛайн;ЧР 0599.00.001;96;в работе;0;0;96

08.04.2019;489-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-003;Основание;Статор;ТХФ 3542.03.00.11;2;в работе;0;0;2
08.04.2019;489-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-003;Сектор;Статор;ТХФ 3542.03.00.12;4;в работе;0;0;4
08.04.2019;489-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-003;Лопатка;Статор;ТХФ 3542.03.00.02 А;20;в работе;0;0;20
08.04.2019;489-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-003;Лопатка;Статор;ТХФ 3542.03.00.02А-01;3;в работе;0;0;3

08.04.2019;488-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-002;Диск;Импеллер;ТХФ 3542.02.00.03;2;в работе;0;0;2
08.04.2019;488-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-002;Диск;Импеллер;ТХФ 3542.02.00.03;5;в работе;0;0;5
08.04.2019;488-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-002;Диск;Импеллер;ТХФ 3542.02.00.03;8;в работе;0;0;8
08.04.2019;488-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-002;Ребро;Импеллер;ТХФ 3542.02.00.04;12;в работе;0;0;12
08.04.2019;488-2019;Кооперация;НПФ Сибпеленг;Резка гидроабразивная;19-002;Лопатка;Импеллер;ТХФ 3542.02.00.02;6;в работе;0;0;6

08.04.2019;487-2019;Кооперация;ИП Зубов;Окраска;18-290;Кронштейн S образный;Комплект Шей (Кронштейн S-образный);ЧР 0599.00.003-01 (зел);3;в работе;0;0;3

08.04.2019;486-2019;Кооперация;ИП Зубов;Окраска;18-290;Кронштейн S образный;Комплект Шей (Кронштейн S-образный);ЧР 0599.00.003 (жел);6;в работе;0;0;6

08.04.2019;485-2019;Кооперация;Теплофон ООО;Окраска;18-292;Крышка внутренняя;Комплект Крышек внутренних Релайн;ЧР 0599.00.002-01;70;в работе;0;0;70

08.04.2019;484-2019;Кооперация;Теплофон ООО;Окраска;18-293;Скоба;Комплект Скоб РеЛайн;ЧР 0599.00.001-01;70;в работе;0;0;70

08.04.2019;483-2019;Кооперация;Теплофон ООО;Окраска;18-291;Опора;Комплект Оснований РеЛайн;ЧР 0599.01.200-01;3;в работе;0;0;3

08.04.2019;482-2019;Кооперация;Теплофон ООО;Окраска;18-291;Опора;Комплект Оснований РеЛайн;ЧР 0599.01.200 ;140;в работе;0;0;140

08.04.2019;481-2019;Кооперация;Теплофон ООО;Окраска;18-291;Корпус;Комплект Оснований РеЛайн;ЧР 0599.01.100-01 ;44;в работе;0;1;43

08.04.2019;480-2019;Кооперация;Теплофон ООО;Окраска;18-291;Корпус;Комплект Оснований РеЛайн;ЧР 0599.01.100 ;40;в работе;0;0;40

08.04.2019;479-2019;Кооперация;ИП Костерина;Токарная;19-082;Корпус;Вагонетка шахтная ВГ 5М;СКМ 1045.01.011;290;в работе;0;0;290

08.04.2019;478-2019;Кооперация;ИП Костерина;Токарная;19-004;Гайка корончатая;Вагонетка шахтная ВГ 5М;СКМ 10.45.01.006;23;в работе;0;0;23

05.04.2019;477-2019;Кооперация;Сибинстрем АО;Шлифовальная;18-204;Профиль;Калибр по узлам подвески с АКУ-58;ЧР 0533.00.024 Б;2;в работе;0;0;2

05.04.2019;476-2019;Кооперация;Сибинстрем АО;Шлифовальная;18-205;Профиль;Калибр по узлам подвески;ЧР 0515.00.002 Б;2;в работе;0;0;2

05.04.2019;475-2019;Кооперация;КрЭВРЗ ОАО;Закалка;15-093;Пружина 200кН;Пружина 200кН;ЧР 0118.200.000;1;в работе;0;0;1

05.04.2019;474-2019;Кооперация;СибМаш ООО;Закалка;18-250;Ось;Колесная пара экспериментальная;КМ 10.50.05.001;6;в работе;0;0;6

05.04.2019;473-2019;Кооперация;СибМаш ООО;Закалка;18-060;Гайка нестандартная;Вагонетка ВГ-11;КМ 10.50.05.003;17;в работе;0;0;17

05.04.2019;472-2019;Кооперация;СибМаш ООО;Закалка;18-060;Гайка основная;Вагонетка ВГ-11;КМ 10.50.05.011;20;в работе;0;0;20

05.04.2019;471-2019;Кооперация;Металлотехника ПКФ ООО;Зуборезная;19-032;Шестерня;Шестерня;ЧР 0588.00.001;2;в работе;0;0;2

05.04.2019;470-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;19-001-018;Боковая пластина;Удлинение крановых путей К-1;ЧС К1 012.02.201;1;в работе;0;0;1

05.04.2019;469-2019;Кооперация;КрЭВРЗ ОАО;Закалка;16-065-014;Пробойник;Пробойник;11.16621.28.03.02.00.00.003 Б;3;в работе;0;1;2

05.04.2019;468-2019;Кооперация;КрЭВРЗ ОАО;Закалка;16-065-013;Расклепник;Расклепник;11.16621.28.03.02.00.00.004 Б;2;в работе;0;0;2

05.04.2019;467-2019;Кооперация;ИП Зубов;Окраска;18-290;Кронштейн S образный;Комплект Шей (Кронштейн S-образный);ЧР 0599.00.003-01 зел.;1;в работе;0;0;1

05.04.2019;466-2019;Кооперация;ИП Зубов;Окраска;18-290;Кронштейн S образный;Комплект Шей (Кронштейн S-образный);ЧР 0599.00.003 желт.;1;в работе;0;0;1

04.04.2019;465-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-266-006;Пластина 1;Доработка стружкоудалителя станка Хевикут по ТР 18.12.008;ЧР 0635.01.001;2;в работе;0;0;2
04.04.2019;465-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-266-006;Пластина 2;Доработка стружкоудалителя станка Хевикут по ТР 18.12.008;ЧР 0635.01.002;1;в работе;0;0;1
04.04.2019;465-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-266-006;Пластина 4 (б/ч лист 4 ст 12Х18Н10Т; 240х306мм);Доработка стружкоудалителя станка Хевикут по ТР 18.12.008;ЧР 0635.01.004;1;в работе;0;0;1
04.04.2019;465-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-266-006;Пластина 1 (б/ч лист 4 ст 12Х18Н10Т; 400х586мм);Доработка стружкоудалителя станка Хевикут по ТР 18.12.008;ЧР 0635.00.001;1;не в работе;0;0;1
04.04.2019;465-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-266-006;Пластина 2;Доработка стружкоудалителя станка Хевикут по ТР 18.12.008;ЧР 0635.00.002;1;в работе;0;0;1
04.04.2019;465-2019;Кооперация;ООО "Инжиниринговое бюро Феникс";Лазерная резка;18-266-006;Пластина 3;Доработка стружкоудалителя станка Хевикут по ТР 18.12.008;ЧР 0635.00.003;1;в работе;0;0;1

04.04.2019;464-2019;Кооперация;"Эверест";Резка плазменная;19-001-018;Пластина площадки;Удлинение крановых путей К-1;ЧС К1 012.01.301;1;в работе;0;0;1

